gene_name,C10,C11,C12,N10,N11,N12,N7,N8,N9,V11,V12,C7,C8,V7,V8,V9
Gm49491,0.0,1.1793835029747557,0.0,2.124419091399185,0.8779470967983004,1.1426367888569977,1.1352276441868931,1.173336251570583,1.1617533848934505,1.04182072938256,1.488067260433284,0.0,0.6643676511089525,1.8543120843708136,0.7756673391834601,1.3619750713023833
Gm49704,0.0893219287212034,0.0824649020080225,0.1843987085575391,0.0408560686419446,0.0479965070775422,0.0397262757922358,0.0432047274409725,0.0,0.0576747800029199,0.1085134960348432,0.0,0.1756864784735683,0.131782407227098,0.0,0.1012177175003079,0.0797829894212267
Gm50058,0.0891188697619601,0.043163925288129,0.1627024287076205,0.0,0.0475973292069219,0.0409865226483024,0.0,0.0,0.0,0.059538508209803,0.0,0.0459005250747278,0.1323286651354338,0.0,0.0507561962273435,0.0398600497769582
Gm50174,1.268150636775269,0.9080112146077276,0.8441125083730087,0.1204844408681142,0.3338195989516303,0.3172951623024678,0.4265827520528857,0.4025893551650594,0.2456432629047648,0.4971748726837955,0.2849514817706713,1.2289786059017738,0.8053968117674717,0.8732933803845127,0.611128857071973,0.6157933324509081
Gm5063,0.1754383217374157,0.0780628783685809,0.0289152529571108,0.0,0.046833516410468,0.0398200894321484,0.0,0.0,0.0395367683673004,0.0,0.0975549789781464,0.1801224920341503,0.127897997201089,0.047523706816992,0.0,0.0389483609296537
Gm53055,0.0513868131143735,0.0,0.0736769671158244,0.0952332695843639,0.2896190254380186,0.3241388153328994,0.6046025294554594,0.6053089039856555,0.3075547162488122,0.340779020545045,0.2854918443893316,0.0506679177330532,0.0,0.1052564344431045,0.2387703865657828,0.1418905791603077
Gm5528,0.1772327796408317,0.1605285332931356,0.2699699307900935,0.0,0.1314118160806902,0.0809794777382778,0.0848130561000928,0.0,0.0,0.0,0.0490746853849637,0.0981732643888983,0.0488453281856617,0.0,0.0515944064269885,0.0852364984374661
Gm5831,2.76781558937476,4.821455851655492,4.631305958602721,5.758373958838623,7.029552814712122,5.164122316129896,8.60409365141434,11.60243294341676,8.09267872162565,5.190734444359714,16.684708307614734,4.196799226114791,3.068456847862599,22.06723734453768,14.740188236210152,7.33163168150371
Gm5845,0.2731373570929692,0.189744023456211,0.2283653096966321,0.0540938563467108,0.1477334149836168,0.0,0.1544204157637107,0.1379834823894891,0.0,0.1576473535089199,0.0,0.0739969723288705,0.2096898654159813,0.0517980616703016,0.1140804418519055,0.0
Gm6440,0.6723164548018157,0.3755073968094607,0.5252811787080356,0.1624925691073582,0.3361141208527258,0.080177837934261,0.2588823839488868,0.0509238443418178,0.1241994487224716,0.0582114328990945,0.1920977934332232,0.1373620684605096,0.4261394938809978,0.0,0.1024833994069683,0.3561218219991727
Gm6576,0.239150865700191,0.3123466490799188,0.3485594267411618,0.2117445577012558,0.3180443927962735,0.1890711856884153,0.1786546581338624,0.0,0.1074635545988461,0.2247410133233002,0.1096176411569146,0.2329954376629766,0.5771610646495365,0.1623171569626582,0.1844870821364719,0.1021291323161913
Gm6905,0.139024818710785,0.195300796025264,0.2212518408074472,0.0820455425920873,0.0969986213101605,0.0806294388695071,0.1334679959505839,0.1017267848890426,0.0420203544665425,0.1094524796318347,0.0948997415177336,0.1420742846818657,0.3002191573211188,0.0,0.0,0.2017967335523587
Gm7507,0.3657958579120448,0.4606833140563175,0.3265971020606258,0.0843179542763742,0.2627176435739001,0.1684125037189789,0.1389128451353401,0.2569431070522699,0.0925424768025675,0.259347286000501,0.2968373125979082,0.2343971405239613,0.292046631509122,0.1087315255482248,0.1594550415064347,0.2284394474527155
Gm9351,0.0,0.0,0.030574007289766,0.1693236754913711,0.1465331615718148,0.1068992893242244,0.0,0.2450729338276095,0.0,0.1684508876149576,0.216486158035587,0.0,0.0,0.188977020124797,0.2676652415319651,0.0
Gm9493,21.14684451802156,77.88643133019188,113.35301908476993,18.27965500525988,0.0,27.54028087305024,55.331110519975375,0.0,58.557742117377366,40.14816025352801,9.800327445936936,45.03714030051745,148.61640995999386,0.0,13.892101952949496,43.66060596259285
Gm973,0.3324906672578733,0.1634078314373483,0.1956550480509118,1.2990697382565288,1.6524374330789124,0.1912779108228917,1.1721294725362057,0.9905632874291992,0.5851412047085356,1.1419405149868735,2.2625338805936552,0.2961434652747529,0.4149415168133983,2.7811491658166503,0.9446200223340776,0.4931087233373802
Gnai2,179.76314921213,98.61118717565893,115.81156870316312,338.106533301074,128.59377261469797,336.5918177225945,193.3012791650829,464.4108468113121,221.1929300887803,237.8717643542256,603.7220219840251,183.02107666837804,173.54224045750436,677.5190838197977,620.7161018506763,392.9078941939521
Golga2,60.23071435315163,70.61490285316358,58.77683165161992,69.97201977929778,93.3631279423691,71.65908652821963,73.37443491334186,117.1581713780318,72.9872700446482,78.882663683525,104.58867071697269,65.5378200048993,48.51809408652944,83.17195060050278,100.87179262685284,61.46800714849368
Golga7,47.395470399184426,66.6802428513901,67.20910633172484,74.7952496369065,75.97809429923115,62.38577961834375,71.19569719292372,76.66912747018674,72.1482957378628,74.99109857344109,84.99019384333016,60.72739495888109,55.45559412643387,76.10066478749339,70.88932760176968,66.8088137214588
Gpat4,32.9086606735798,46.41282206622248,50.6588254092372,96.94382727485294,47.74605323126341,77.59409236847334,88.61495272582471,104.27779167960064,84.85460484274114,59.75398018164788,130.14789311843057,46.60533235722664,40.858071420094205,108.64373129588704,114.1706762378518,81.5626942746239
Gpatch2l,16.314171190831598,16.194105227147435,14.000836590400183,19.0341340145145,16.466388555701478,16.492595643115983,17.114366213972243,20.010030163594,16.703979584084216,23.18025162610901,25.943534277193844,16.549045902739937,14.375569164991834,20.377337019218224,20.416607704903782,14.257634435516424
Gpd1l,37.06197300267823,54.753113136431,66.78499124390109,74.0831033698258,65.75804106573277,75.64057260337107,76.64775792000003,68.61486717673824,64.12800512471524,80.85824389293033,61.583587611995576,43.30803140435901,61.678201423928165,58.403849895306834,68.51671604665191,73.66179855872008
Gprc5c,0.6713860658591837,1.2918833670919636,1.0056467615002451,1.6452450000582002,1.1111871358373746,1.3980642867972588,1.1817568620798629,1.5750745953776215,1.554412802085664,1.4653193619021756,1.8449483068769184,1.1302506498109262,0.7470069005492366,4.16256626605086,1.7606050915158762,1.7162322648171917
Grb2,75.72710427733395,46.29507267486128,63.2710800197556,90.12949589264213,80.3848331727085,96.72502541664193,99.02142530054644,80.22291847736929,85.00908663223443,77.97812306086992,93.16475177432665,47.52045718720934,80.03459970267176,110.24696384879822,120.0524566262497,82.96617204353038
Grk5,8.230067949675739,6.653970208225951,7.8319221620632735,8.577090136599509,7.872198688474305,8.51329663720562,9.922114973953263,8.092791598096882,7.367884569570095,6.012276117057693,11.230653252366944,5.511453338628932,7.067501174993195,12.831233345809602,13.8484248695688,9.293421601914147
Gsk3b,59.16662041811543,59.037730071457474,54.83259854881995,75.16256641056856,94.23551283816288,82.51210815799159,63.3317208515492,103.662196258217,67.7587235803173,73.93374784008302,104.68620755649349,60.84796205150349,58.97843193107938,80.07036822095394,108.77492257038764,65.29586685090779
Gtf2e1,6.669516594757033,7.874947074504014,8.11737497475481,8.439673152927147,7.935244357714772,7.567481087450585,9.680720036389513,11.673651360861184,9.576388238702332,6.678967841250736,12.37751611373394,4.492881450700834,7.307980332876344,12.801011005708164,13.169852218941138,10.51884468693717
Gtf3c1,36.91074953125568,42.49812898121629,34.45748371278816,60.99572802643653,43.79747050226692,39.446345670607045,57.76365848174834,73.38488495721313,56.54903237008618,49.973556043542544,74.42631739424499,47.7437383808501,29.70203078940901,69.91559291339767,57.651297785544216,41.44644951984591
Gtf3c4,8.483232794073936,21.4644906540036,22.334629469388616,26.75172740152411,20.69450302631786,22.215731684586512,25.54278458210607,31.585446260364247,26.113276921723752,20.843086226380724,35.925114824753045,15.622050990120655,21.05967674348588,28.79585793705677,27.336380493995115,29.37184866748153
Gtpbp1,23.20571034009367,25.070714843084097,23.37980059370127,35.33616035932698,37.35696235461044,56.93281924946939,42.54546619890268,42.35998151813055,44.24820709865008,32.5202796848714,52.38196589129897,24.372126033384838,21.23828653859561,52.12486202013803,45.21304616556751,30.86785401839685
Gys1,15.08791696237862,24.60625117959109,19.91786885950162,22.16095087838372,35.5776860529416,25.842338024689983,29.58942666687969,31.189206401423064,24.429938355778425,23.30489242964097,25.147163651064957,20.293361671383856,13.701892351928542,33.00760309928452,31.76941019829493,18.80589526408725
H4c14,0.1400292131152425,0.5593172133641733,0.823017927906475,0.8689730823852599,0.5473108503489595,1.830271132386755,0.7219235692750723,0.8774984894734202,1.2064542955871538,0.959927647291784,1.080070700582458,0.2665956652064281,0.4314587385018896,1.176185711104722,0.9315693496937756,1.1172144386980123
H6pd,9.814269497088643,17.62130378743157,23.09120018276676,19.56005877792644,21.227575776262267,20.085982067899764,27.22979257701167,27.893686920795496,21.517879237337,17.53846069613268,34.3433972938256,12.761243449456884,19.399005521872247,29.03753903587629,32.40352064239622,29.840656904415763
Haus3,19.36327311898507,18.9169579363948,22.76777363909969,8.45606783722189,16.336757172177055,9.029440329816186,9.7297655930628,6.386936183797212,8.749151799282131,10.23215968150492,5.969178724552378,12.22343763885668,10.356328899011146,6.395877645851807,8.266165875934503,11.69277259329276
Heatr5b,8.664624993133026,14.328189990220745,12.805188754370024,13.85375138267028,16.079890900811296,15.22668300914345,15.787623953891297,21.06726335025324,23.091915138560143,15.001406523728177,17.871924343759737,8.417668173536027,11.271803293049638,17.448107781111517,19.30127185416169,13.746363196894457
Hira,16.51606772605518,23.724748223423944,22.44831602125992,22.610187347724967,28.53577381503004,23.026610337516367,25.38491177944109,28.07815925797765,27.01900583805845,25.551585400925283,30.698786704986627,19.94972141722453,21.95896859633115,29.14204840598888,24.103408567624683,30.594734734594308
Hivep1,29.134084222313877,44.261570008587015,24.13445550040029,48.197491529296975,42.20146639353262,51.82063577143531,47.07000391620637,58.69442816889167,44.81583761961223,56.03367428561283,75.48119442906332,39.74090239044,30.521544675126822,64.93412755127493,45.90851412439535,30.664333086371663
Hk1,19.19592364083665,98.57816914838554,110.8566078989323,134.09449947597415,130.1799537049894,170.83582234658505,209.00817877641728,144.8372888306818,235.17678251338825,111.07819901307592,178.85054235882384,112.11784814718452,113.51971187332872,187.46705319842548,144.33936192457048,134.5728812215603
