gene_name,p-value_Neo_IP,fold_change_Neo_IP,p-value_Van_IP,fold_change_Van_IP
Fbxw8,0.0321819316712885,0.3362699177827055,0.0002023775373869,0.8892090029831465
Flnb,0.0254905015095712,0.3052063539348785,0.0233311971871928,1.1942403588565047
Fndc3b,0.0410333284136918,0.4313251854258271,0.014257080933205,1.4593212815699088
Foxj2,0.0005493742063675,0.5319175747342534,0.001143626699407,0.6721580880851366
Furin,0.0321156959720686,0.2292160208652714,0.0080441584404868,0.4760368635781895
Fus,0.0428605241819007,0.3442263529900711,0.023695107771482,0.4076721494704777
Fyco1,0.0255997799917369,0.34194338864392,0.0221400703031601,0.9958382530175124
G3bp2,0.0002922012389779,0.3998860495189784,0.0287450646614024,0.2873820590802644
Gab2,0.001741862510936,0.6477034420486826,0.0035961052866583,1.161377098575388
Gapdh-ps16,0.0439299965858709,1.0436505434402152,0.002672728056827,1.7904303267804424
Gatad2b,0.0113005105782052,0.3206044491775956,0.0017689325163681,0.7639476438386391
Gdf5,0.0248356620364219,1.658885087820491,0.0355518575944209,3.7198523969517634
Glg1,0.0073780803134195,0.22186911782855,0.0003611838153171,0.3481109664794796
Glyr1,0.0010250162907721,0.1822155254388978,0.0003725426657091,0.2366757932737933
Gm10291,0.028568587795233,2.263412270185236,0.0357614894681232,2.193222518607936
Gm11407,0.0046732804442555,-1.2778481306746745,0.0177997474086288,-1.0233367994898053
Gm11410,0.0008333443622171,-1.5897504203878887,0.0067830552320696,-1.5148994250634429
Gm12080,0.0382313543579717,-2.5171399368374776,0.0487794178005933,-1.687979721051874
Gm12161,0.0003335083804894,1.892025428716129,0.0068523937435845,1.8437140771931384
Gm12468,0.0325260641339514,-2.639375994506697,0.0119256142398023,-1.5484140769301569
Gm14117,0.0129976826476035,1.039955236786948,0.0014230537251397,1.5385385904671638
Gm14239,0.0276079474654691,1.7677277412853052,0.0400209024151378,1.5543232183535414
Gm15191,0.0273007206301747,-1.172871570225125,0.0311291540815082,-1.2580037800276913
Gm15379,0.0194028912049895,-2.272500358255912,0.0094574772464103,-2.0574707676459068
Gm15899,0.0158860996862241,0.8876103871508277,0.0078410767292857,0.643406003432643
Gm16106,0.0121782018546852,-1.5868119433671042,0.0056060594155261,-1.4686853011431051
Gm16305,0.0424887342953852,2.091537253706336,0.0438281097629165,2.359597965966707
Gm18537,0.0047644767397518,1.92536422336578,0.0190433304811025,1.4242786202410076
Gm20661,0.0014270099806114,2.1822945483044727,0.0146853472481748,1.7547596633926406
Gm28438,0.0019161015858856,-1.7245423205921195,0.0230709234525022,-0.9768643373841503
Gm29257,0.0049017490825021,-0.7817318271052337,0.0170178871949457,-0.7072438868937723
Gm30970,0.0444936881012996,inf,0.0245157933160836,inf
Gm32687,0.0215491531902187,-0.7508682259501616,0.0381443305770543,-0.6257681945622457
Gm42927,0.0431969926358571,-0.6029876131286928,0.0239674498353189,-0.8780289354937405
Gm44126,0.0285288064396517,1.539903561191941,0.0297548810463807,1.1977760036718657
Gm4518,0.0165329497522828,-1.5324288751273916,0.0422351204402283,-0.9128791249203424
Gm4724,0.0469649025433395,1.3254704997344031,0.0447048228614597,1.9733104386285876
Gm47364,0.0016747299809966,inf,0.0394815086319986,inf
Gm47441,0.032905910227642,0.4401449359203544,0.0131374995446496,0.554158378701422
Gm49325,0.0068291677938434,1.2807630537942312,0.010704447283277,2.29079803805231
Gm49391,0.0304657972432315,inf,0.0001603071530888,inf
Gm49491,0.0130406368060786,inf,0.0150186296302591,inf
Gm49704,0.0015220089812655,-1.648652760910664,0.0478263244224309,-0.7240046988895917
Gm50058,0.0081865404420735,-inf,0.0421407253973614,-1.160787424202971
Gm50174,7.310120742967671e-05,-1.479798270123743,0.0132632874414177,-0.5712335103014623
Gm5063,0.0073257193559371,-2.693726813881114,0.0444723257385734,-1.7153591512346535
Gm53055,0.0049547541169861,2.640080353700993,0.0037217970603082,2.2364794721479937
Gm5528,0.0410268857921746,-1.9872015095392013,0.0240577574422579,-1.7097788295119465
